'sample interval','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
2031,0.059,-0.433,-0.491,0.186,0.276,-0.462,0.262,0.271,0.593,0.497,0.614,0.540,0.121,-0.679,-0.082
2032,0.057,-0.440,-0.495,0.191,0.276,-0.468,0.264,0.272,0.594,0.498,0.616,0.544,0.123,-0.683,-0.082
2033,0.050,-0.449,-0.499,0.199,0.275,-0.474,0.269,0.276,0.596,0.502,0.619,0.545,0.121,-0.691,-0.081
2034,0.054,-0.445,-0.499,0.195,0.277,-0.472,0.263,0.272,0.595,0.501,0.616,0.542,0.121,-0.687,-0.080
2035,0.056,-0.439,-0.493,0.191,0.275,-0.466,0.261,0.272,0.593,0.498,0.615,0.540,0.122,-0.683,-0.082
2036,0.057,-0.439,-0.495,0.191,0.276,-0.467,0.265,0.272,0.589,0.495,0.614,0.540,0.120,-0.687,-0.081
2037,0.057,-0.446,-0.502,0.194,0.280,-0.474,0.267,0.272,0.591,0.498,0.614,0.542,0.121,-0.691,-0.079
2038,0.053,-0.452,-0.504,0.199,0.279,-0.477,0.268,0.276,0.592,0.498,0.616,0.543,0.120,-0.690,-0.078
2039,0.053,-0.448,-0.501,0.197,0.278,-0.474,0.269,0.274,0.596,0.501,0.618,0.544,0.124,-0.689,-0.079
2040,0.050,-0.448,-0.496,0.198,0.273,-0.471,0.267,0.274,0.595,0.500,0.616,0.541,0.128,-0.689,-0.077
2041,0.050,-0.445,-0.493,0.197,0.272,-0.469,0.265,0.272,0.587,0.492,0.613,0.540,0.117,-0.686,-0.081
2042,0.056,-0.436,-0.491,0.190,0.274,-0.464,0.265,0.268,0.586,0.493,0.614,0.542,0.119,-0.683,-0.081
2043,0.061,-0.430,-0.491,0.184,0.276,-0.461,0.260,0.267,0.585,0.492,0.612,0.539,0.126,-0.679,-0.079
2044,0.063,-0.430,-0.492,0.183,0.278,-0.462,0.261,0.267,0.586,0.492,0.616,0.541,0.123,-0.679,-0.081
2045,0.059,-0.432,-0.492,0.186,0.276,-0.463,0.264,0.268,0.587,0.493,0.616,0.540,0.123,-0.677,-0.080
2046,0.055,-0.434,-0.489,0.189,0.273,-0.462,0.265,0.267,0.587,0.492,0.613,0.538,0.118,-0.679,-0.082
2047,0.056,-0.426,-0.482,0.184,0.270,-0.455,0.263,0.266,0.586,0.492,0.613,0.538,0.120,-0.677,-0.082
2048,0.056,-0.421,-0.476,0.182,0.267,-0.449,0.261,0.266,0.585,0.490,0.614,0.541,0.122,-0.672,-0.082
2049,0.052,-0.423,-0.475,0.185,0.264,-0.450,0.264,0.268,0.586,0.490,0.615,0.541,0.122,-0.672,-0.082
2050,0.052,-0.423,-0.475,0.185,0.264,-0.450,0.264,0.269,0.587,0.492,0.614,0.538,0.123,-0.672,-0.081
2051,0.058,-0.428,-0.486,0.184,0.273,-0.457,0.262,0.268,0.589,0.491,0.615,0.539,0.121,-0.677,-0.081
2052,0.062,-0.435,-0.497,0.185,0.280,-0.466,0.262,0.268,0.586,0.490,0.614,0.538,0.118,-0.682,-0.081
2053,0.056,-0.448,-0.502,0.196,0.279,-0.475,0.264,0.270,0.587,0.492,0.615,0.539,0.120,-0.689,-0.080
2054,0.053,-0.449,-0.501,0.197,0.278,-0.475,0.265,0.269,0.588,0.493,0.616,0.539,0.121,-0.687,-0.079
2055,0.054,-0.440,-0.493,0.192,0.274,-0.466,0.264,0.270,0.586,0.494,0.616,0.539,0.118,-0.681,-0.082
2056,0.053,-0.438,-0.490,0.192,0.272,-0.464,0.268,0.274,0.588,0.495,0.617,0.536,0.117,-0.682,-0.082
2057,0.048,-0.447,-0.494,0.199,0.272,-0.470,0.268,0.273,0.588,0.495,0.616,0.537,0.116,-0.689,-0.081
2058,0.045,-0.453,-0.498,0.203,0.273,-0.475,0.265,0.275,0.592,0.498,0.618,0.542,0.119,-0.690,-0.080
2059,0.052,-0.450,-0.501,0.198,0.277,-0.475,0.265,0.274,0.591,0.497,0.617,0.540,0.120,-0.688,-0.080
2060,0.053,-0.449,-0.501,0.197,0.278,-0.475,0.263,0.271,0.587,0.494,0.615,0.536,0.116,-0.685,-0.081
2061,0.049,-0.444,-0.492,0.197,0.271,-0.468,0.262,0.270,0.587,0.494,0.616,0.537,0.117,-0.682,-0.081
2062,0.046,-0.438,-0.484,0.195,0.266,-0.462,0.261,0.270,0.590,0.495,0.618,0.538,0.122,-0.684,-0.080
2063,0.050,-0.433,-0.483,0.191,0.267,-0.458,0.260,0.269,0.590,0.494,0.618,0.537,0.119,-0.679,-0.083
2064,0.053,-0.433,-0.486,0.190,0.270,-0.460,0.264,0.268,0.588,0.491,0.616,0.535,0.115,-0.680,-0.084
2065,0.060,-0.438,-0.498,0.188,0.280,-0.468,0.261,0.265,0.585,0.489,0.615,0.533,0.118,-0.684,-0.082
2066,0.063,-0.434,-0.497,0.185,0.281,-0.466,0.259,0.265,0.585,0.492,0.615,0.539,0.122,-0.675,-0.081
2067,0.060,-0.424,-0.484,0.181,0.273,-0.455,0.261,0.266,0.584,0.489,0.618,0.541,0.123,-0.670,-0.082
2068,0.057,-0.421,-0.477,0.181,0.267,-0.449,0.261,0.266,0.585,0.489,0.615,0.536,0.120,-0.667,-0.083
2069,0.054,-0.426,-0.480,0.185,0.268,-0.454,0.258,0.266,0.585,0.488,0.612,0.536,0.119,-0.671,-0.081
2070,0.064,-0.428,-0.492,0.181,0.278,-0.461,0.256,0.262,0.580,0.484,0.612,0.535,0.122,-0.678,-0.083
2071,0.064,-0.431,-0.495,0.183,0.280,-0.464,0.257,0.264,0.583,0.487,0.612,0.536,0.120,-0.679,-0.082
2072,0.057,-0.438,-0.494,0.190,0.276,-0.466,0.259,0.267,0.585,0.489,0.614,0.539,0.119,-0.679,-0.081
2073,0.058,-0.446,-0.502,0.194,0.280,-0.474,0.262,0.269,0.588,0.490,0.615,0.538,0.122,-0.685,-0.079
2074,0.051,-0.452,-0.502,0.200,0.277,-0.477,0.263,0.271,0.589,0.491,0.617,0.539,0.121,-0.689,-0.077
2075,0.044,-0.444,-0.488,0.199,0.267,-0.466,0.264,0.272,0.589,0.494,0.620,0.541,0.120,-0.685,-0.080
2076,0.046,-0.443,-0.488,0.198,0.268,-0.466,0.265,0.273,0.591,0.497,0.620,0.544,0.121,-0.686,-0.081
2077,0.049,-0.454,-0.501,0.202,0.276,-0.477,0.268,0.273,0.589,0.496,0.618,0.543,0.118,-0.691,-0.079
2078,0.051,-0.455,-0.505,0.201,0.278,-0.480,0.268,0.272,0.585,0.493,0.617,0.542,0.118,-0.689,-0.077
2079,0.051,-0.455,-0.505,0.201,0.279,-0.480,0.267,0.272,0.591,0.492,0.616,0.541,0.119,-0.690,-0.077
2080,0.051,-0.453,-0.504,0.200,0.278,-0.478,0.266,0.273,0.590,0.491,0.615,0.540,0.119,-0.690,-0.077
2081,0.052,-0.446,-0.497,0.196,0.275,-0.471,0.265,0.272,0.587,0.491,0.616,0.541,0.121,-0.685,-0.079
2082,0.053,-0.439,-0.492,0.192,0.273,-0.466,0.265,0.270,0.588,0.491,0.616,0.541,0.121,-0.682,-0.082
2083,0.053,-0.435,-0.488,0.191,0.271,-0.462,0.263,0.268,0.585,0.490,0.614,0.539,0.121,-0.679,-0.081
2084,0.054,-0.435,-0.489,0.190,0.272,-0.462,0.264,0.268,0.586,0.492,0.618,0.541,0.120,-0.678,-0.082
2085,0.053,-0.440,-0.492,0.193,0.273,-0.466,0.266,0.269,0.587,0.493,0.614,0.540,0.120,-0.682,-0.082
2086,0.051,-0.442,-0.492,0.195,0.272,-0.468,0.264,0.268,0.586,0.491,0.613,0.538,0.121,-0.683,-0.080
2087,0.053,-0.434,-0.487,0.190,0.271,-0.461,0.262,0.268,0.585,0.490,0.614,0.538,0.124,-0.678,-0.081
2088,0.052,-0.429,-0.480,0.188,0.267,-0.455,0.262,0.267,0.584,0.491,0.612,0.538,0.122,-0.675,-0.083
2089,0.053,-0.429,-0.482,0.188,0.268,-0.456,0.262,0.266,0.584,0.490,0.614,0.538,0.119,-0.676,-0.083
2090,0.055,-0.432,-0.486,0.188,0.271,-0.460,0.260,0.266,0.585,0.488,0.613,0.538,0.121,-0.680,-0.083
2091,0.053,-0.439,-0.492,0.192,0.273,-0.466,0.262,0.269,0.588,0.491,0.615,0.538,0.120,-0.683,-0.084
2092,0.053,-0.444,-0.496,0.195,0.275,-0.469,0.266,0.272,0.590,0.492,0.615,0.538,0.118,-0.686,-0.083
2093,0.054,-0.450,-0.504,0.197,0.280,-0.477,0.265,0.273,0.591,0.494,0.618,0.544,0.119,-0.689,-0.081
2094,0.054,-0.455,-0.508,0.200,0.281,-0.482,0.267,0.274,0.591,0.493,0.620,0.543,0.121,-0.694,-0.079
2095,0.054,-0.449,-0.501,0.197,0.278,-0.475,0.267,0.272,0.589,0.493,0.618,0.543,0.124,-0.690,-0.078
2096,0.055,-0.445,-0.499,0.194,0.278,-0.472,0.266,0.271,0.589,0.494,0.618,0.541,0.121,-0.686,-0.080
2097,0.052,-0.453,-0.504,0.200,0.279,-0.478,0.270,0.274,0.592,0.495,0.621,0.540,0.118,-0.693,-0.080
2098,0.050,-0.459,-0.507,0.203,0.279,-0.483,0.271,0.275,0.592,0.498,0.622,0.544,0.121,-0.696,-0.079
2099,0.050,-0.459,-0.508,0.204,0.280,-0.483,0.271,0.276,0.593,0.499,0.624,0.544,0.120,-0.697,-0.080
2100,0.053,-0.457,-0.508,0.201,0.281,-0.482,0.271,0.276,0.593,0.501,0.623,0.544,0.122,-0.695,-0.079
2101,0.054,-0.452,-0.505,0.198,0.280,-0.478,0.270,0.273,0.590,0.497,0.618,0.542,0.121,-0.694,-0.079
2102,0.052,-0.445,-0.496,0.195,0.275,-0.470,0.270,0.274,0.590,0.494,0.618,0.541,0.119,-0.691,-0.082
2103,0.053,-0.438,-0.490,0.192,0.272,-0.465,0.268,0.273,0.591,0.494,0.618,0.541,0.120,-0.685,-0.082
2104,0.056,-0.438,-0.493,0.191,0.275,-0.466,0.267,0.272,0.590,0.493,0.618,0.541,0.120,-0.683,-0.082
2105,0.057,-0.442,-0.498,0.192,0.278,-0.470,0.268,0.275,0.591,0.494,0.619,0.542,0.121,-0.685,-0.082
2106,0.058,-0.443,-0.499,0.192,0.279,-0.470,0.268,0.274,0.590,0.494,0.617,0.538,0.118,-0.685,-0.081
2107,0.057,-0.433,-0.489,0.188,0.273,-0.461,0.268,0.274,0.588,0.492,0.617,0.539,0.120,-0.676,-0.083
2108,0.056,-0.425,-0.480,0.184,0.269,-0.453,0.270,0.275,0.591,0.494,0.618,0.541,0.120,-0.670,-0.084
2109,0.057,-0.425,-0.482,0.183,0.270,-0.454,0.271,0.277,0.594,0.496,0.619,0.540,0.120,-0.673,-0.085
2110,0.057,-0.427,-0.483,0.184,0.271,-0.456,0.272,0.281,0.596,0.498,0.620,0.543,0.122,-0.672,-0.086
2111,0.060,-0.430,-0.490,0.184,0.275,-0.461,0.273,0.281,0.598,0.499,0.622,0.545,0.119,-0.673,-0.087
2112,0.060,-0.437,-0.497,0.188,0.279,-0.467,0.273,0.282,0.598,0.498,0.621,0.544,0.123,-0.677,-0.085
2113,0.056,-0.440,-0.495,0.192,0.276,-0.468,0.276,0.286,0.602,0.503,0.622,0.544,0.121,-0.675,-0.084
2114,0.058,-0.443,-0.499,0.192,0.279,-0.471,0.279,0.289,0.604,0.506,0.626,0.547,0.118,-0.677,-0.086
2115,0.060,-0.438,-0.497,0.188,0.279,-0.467,0.280,0.288,0.606,0.506,0.627,0.546,0.123,-0.675,-0.085
2116,0.062,-0.428,-0.490,0.182,0.277,-0.460,0.284,0.292,0.608,0.507,0.626,0.547,0.117,-0.668,-0.090
2117,0.066,-0.432,-0.497,0.182,0.282,-0.465,0.289,0.299,0.612,0.512,0.631,0.551,0.117,-0.668,-0.092
2118,0.068,-0.431,-0.498,0.181,0.283,-0.465,0.293,0.302,0.615,0.516,0.635,0.553,0.122,-0.668,-0.092
2119,0.067,-0.428,-0.494,0.180,0.281,-0.461,0.296,0.303,0.616,0.514,0.632,0.551,0.116,-0.664,-0.096
2120,0.068,-0.424,-0.492,0.177,0.281,-0.458,0.296,0.302,0.615,0.513,0.630,0.549,0.112,-0.659,-0.097
2121,0.069,-0.416,-0.484,0.173,0.277,-0.451,0.298,0.305,0.617,0.515,0.632,0.552,0.117,-0.654,-0.098
2122,0.060,-0.409,-0.469,0.173,0.265,-0.439,0.304,0.307,0.619,0.519,0.634,0.554,0.117,-0.648,-0.100
2123,0.062,-0.402,-0.464,0.169,0.263,-0.432,0.303,0.307,0.617,0.518,0.635,0.555,0.117,-0.642,-0.102
2124,0.068,-0.401,-0.468,0.166,0.268,-0.434,0.304,0.308,0.618,0.519,0.634,0.553,0.117,-0.639,-0.103
2125,0.067,-0.401,-0.467,0.166,0.268,-0.434,0.305,0.310,0.619,0.519,0.631,0.552,0.116,-0.639,-0.102
2126,0.070,-0.398,-0.467,0.163,0.269,-0.432,0.308,0.311,0.621,0.519,0.635,0.560,0.121,-0.634,-0.102
2127,0.070,-0.387,-0.456,0.158,0.264,-0.421,0.312,0.314,0.622,0.521,0.640,0.562,0.123,-0.625,-0.104
2128,0.069,-0.376,-0.444,0.153,0.256,-0.409,0.315,0.317,0.625,0.523,0.640,0.560,0.126,-0.619,-0.106
2129,0.072,-0.372,-0.444,0.150,0.258,-0.408,0.318,0.319,0.627,0.526,0.642,0.563,0.121,-0.615,-0.110
2130,0.073,-0.373,-0.446,0.150,0.260,-0.410,0.320,0.322,0.628,0.525,0.641,0.563,0.119,-0.614,-0.110
2131,0.071,-0.380,-0.451,0.154,0.262,-0.415,0.323,0.324,0.631,0.528,0.644,0.564,0.121,-0.619,-0.111
2132,0.069,-0.385,-0.453,0.158,0.261,-0.419,0.324,0.326,0.632,0.531,0.646,0.566,0.118,-0.624,-0.111
2133,0.067,-0.389,-0.455,0.161,0.262,-0.422,0.325,0.329,0.632,0.533,0.645,0.565,0.119,-0.625,-0.111
2134,0.071,-0.395,-0.466,0.161,0.269,-0.430,0.325,0.330,0.634,0.533,0.645,0.565,0.120,-0.629,-0.111
2135,0.069,-0.395,-0.463,0.163,0.267,-0.429,0.323,0.328,0.633,0.530,0.643,0.562,0.121,-0.627,-0.107
2136,0.063,-0.392,-0.455,0.164,0.259,-0.423,0.323,0.330,0.632,0.532,0.641,0.558,0.116,-0.628,-0.108
2137,0.064,-0.401,-0.464,0.168,0.264,-0.432,0.323,0.328,0.631,0.531,0.639,0.562,0.113,-0.633,-0.108
2138,0.065,-0.403,-0.468,0.168,0.267,-0.435,0.322,0.327,0.631,0.531,0.645,0.565,0.116,-0.632,-0.104
2139,0.066,-0.401,-0.466,0.167,0.266,-0.433,0.322,0.330,0.634,0.534,0.650,0.565,0.114,-0.632,-0.107
2140,0.068,-0.399,-0.466,0.165,0.267,-0.432,0.317,0.327,0.632,0.532,0.647,0.567,0.117,-0.631,-0.105
2141,0.072,-0.391,-0.463,0.159,0.268,-0.426,0.314,0.323,0.630,0.531,0.645,0.568,0.119,-0.631,-0.104
2142,0.076,-0.387,-0.462,0.155,0.269,-0.424,0.313,0.320,0.628,0.528,0.646,0.568,0.122,-0.625,-0.104
2143,0.074,-0.380,-0.454,0.153,0.264,-0.416,0.314,0.322,0.629,0.531,0.647,0.566,0.120,-0.622,-0.106
2144,0.070,-0.376,-0.446,0.152,0.259,-0.410,0.316,0.323,0.630,0.532,0.645,0.567,0.112,-0.617,-0.110
2145,0.070,-0.376,-0.445,0.152,0.258,-0.410,0.314,0.324,0.631,0.532,0.647,0.568,0.115,-0.611,-0.106
2146,0.074,-0.369,-0.444,0.147,0.260,-0.406,0.320,0.327,0.635,0.536,0.652,0.572,0.119,-0.607,-0.108
2147,0.078,-0.355,-0.432,0.139,0.255,-0.394,0.322,0.329,0.640,0.537,0.654,0.573,0.123,-0.594,-0.112
2148,0.075,-0.347,-0.422,0.136,0.249,-0.385,0.323,0.330,0.642,0.539,0.655,0.576,0.125,-0.590,-0.110
2149,0.077,-0.345,-0.422,0.134,0.250,-0.383,0.324,0.331,0.646,0.543,0.661,0.586,0.128,-0.587,-0.112
2150,0.074,-0.344,-0.417,0.135,0.245,-0.381,0.323,0.333,0.649,0.546,0.660,0.577,0.122,-0.584,-0.112
2151,0.070,-0.344,-0.413,0.137,0.242,-0.379,0.326,0.335,0.650,0.548,0.659,0.581,0.121,-0.583,-0.110
2152,0.076,-0.349,-0.424,0.136,0.251,-0.387,0.325,0.336,0.651,0.551,0.669,0.595,0.131,-0.586,-0.109
2153,0.087,-0.349,-0.437,0.131,0.263,-0.393,0.322,0.330,0.646,0.546,0.668,0.588,0.130,-0.587,-0.107
2154,0.086,-0.348,-0.434,0.130,0.261,-0.391,0.319,0.333,0.644,0.545,0.665,0.589,0.129,-0.589,-0.103
2155,0.085,-0.344,-0.429,0.130,0.257,-0.387,0.321,0.336,0.650,0.550,0.670,0.596,0.134,-0.586,-0.102
2156,0.099,-0.336,-0.434,0.118,0.267,-0.385,0.316,0.332,0.649,0.551,0.669,0.595,0.137,-0.577,-0.102
2157,0.105,-0.342,-0.447,0.117,0.277,-0.394,0.310,0.333,0.648,0.551,0.668,0.591,0.135,-0.577,-0.101
2158,0.107,-0.345,-0.451,0.118,0.280,-0.398,0.307,0.334,0.651,0.552,0.671,0.596,0.137,-0.581,-0.101
2159,0.107,-0.344,-0.451,0.117,0.280,-0.398,0.302,0.332,0.649,0.555,0.673,0.599,0.140,-0.583,-0.100
2160,0.112,-0.341,-0.452,0.115,0.282,-0.396,0.296,0.328,0.649,0.555,0.672,0.595,0.138,-0.583,-0.100
2161,0.121,-0.335,-0.455,0.106,0.288,-0.395,0.286,0.321,0.645,0.554,0.669,0.592,0.139,-0.579,-0.100
2162,0.119,-0.332,-0.452,0.106,0.285,-0.392,0.280,0.315,0.638,0.550,0.667,0.591,0.140,-0.577,-0.099
2163,0.118,-0.327,-0.444,0.104,0.281,-0.386,0.275,0.310,0.636,0.548,0.667,0.591,0.141,-0.575,-0.097
2164,0.118,-0.328,-0.446,0.104,0.282,-0.387,0.273,0.307,0.634,0.546,0.666,0.590,0.141,-0.576,-0.096
2165,0.116,-0.332,-0.447,0.107,0.281,-0.389,0.272,0.303,0.632,0.543,0.664,0.590,0.143,-0.579,-0.096
2166,0.117,-0.334,-0.451,0.108,0.284,-0.393,0.271,0.303,0.632,0.543,0.662,0.586,0.140,-0.579,-0.096
2167,0.118,-0.331,-0.449,0.106,0.284,-0.390,0.267,0.298,0.627,0.538,0.658,0.581,0.138,-0.584,-0.097
2168,0.120,-0.328,-0.448,0.103,0.284,-0.388,0.263,0.294,0.625,0.536,0.658,0.584,0.144,-0.581,-0.097
2169,0.122,-0.333,-0.455,0.105,0.288,-0.394,0.264,0.294,0.627,0.536,0.659,0.585,0.149,-0.581,-0.097
2170,0.121,-0.338,-0.459,0.108,0.289,-0.398,0.263,0.294,0.626,0.535,0.656,0.583,0.148,-0.589,-0.095
2171,0.119,-0.345,-0.464,0.113,0.291,-0.405,0.263,0.295,0.625,0.534,0.658,0.583,0.150,-0.593,-0.093
2172,0.117,-0.354,-0.471,0.118,0.294,-0.413,0.268,0.295,0.625,0.533,0.656,0.581,0.149,-0.599,-0.093
2173,0.111,-0.362,-0.473,0.126,0.292,-0.418,0.270,0.297,0.626,0.534,0.655,0.580,0.143,-0.603,-0.094
2174,0.101,-0.366,-0.467,0.133,0.284,-0.416,0.270,0.299,0.627,0.535,0.657,0.583,0.141,-0.607,-0.096
2175,0.089,-0.372,-0.461,0.141,0.276,-0.416,0.275,0.301,0.629,0.537,0.664,0.590,0.144,-0.611,-0.093
2176,0.089,-0.372,-0.461,0.141,0.275,-0.416,0.273,0.298,0.627,0.535,0.662,0.585,0.143,-0.608,-0.091
2177,0.095,-0.376,-0.469,0.140,0.282,-0.422,0.272,0.300,0.629,0.537,0.656,0.580,0.141,-0.611,-0.094
2178,0.097,-0.383,-0.478,0.142,0.288,-0.430,0.274,0.303,0.632,0.540,0.663,0.585,0.146,-0.616,-0.092
2179,0.099,-0.382,-0.480,0.141,0.290,-0.431,0.272,0.301,0.632,0.542,0.665,0.585,0.151,-0.619,-0.091
2180,0.102,-0.382,-0.482,0.140,0.292,-0.431,0.271,0.304,0.633,0.542,0.666,0.585,0.149,-0.618,-0.095
2181,0.108,-0.378,-0.485,0.134,0.297,-0.431,0.265,0.302,0.632,0.541,0.666,0.585,0.150,-0.616,-0.097
2182,0.113,-0.371,-0.483,0.130,0.298,-0.427,0.267,0.304,0.637,0.544,0.669,0.586,0.152,-0.615,-0.102
2183,0.111,-0.365,-0.475,0.127,0.293,-0.420,0.267,0.308,0.638,0.545,0.670,0.587,0.152,-0.609,-0.104
2184,0.113,-0.360,-0.472,0.124,0.292,-0.416,0.268,0.309,0.640,0.549,0.672,0.590,0.154,-0.601,-0.104
2185,0.107,-0.363,-0.470,0.128,0.289,-0.416,0.270,0.312,0.643,0.552,0.677,0.592,0.155,-0.601,-0.106
2186,0.108,-0.364,-0.472,0.128,0.290,-0.418,0.265,0.314,0.643,0.554,0.678,0.593,0.159,-0.600,-0.105
2187,0.112,-0.351,-0.463,0.119,0.287,-0.407,0.266,0.311,0.639,0.550,0.676,0.592,0.158,-0.592,-0.103
2188,0.106,-0.349,-0.455,0.121,0.281,-0.402,0.261,0.301,0.630,0.542,0.669,0.587,0.153,-0.588,-0.097
2189,0.100,-0.360,-0.459,0.130,0.280,-0.409,0.260,0.294,0.622,0.536,0.662,0.581,0.155,-0.596,-0.090
2190,0.092,-0.367,-0.459,0.138,0.276,-0.413,0.262,0.292,0.624,0.536,0.659,0.578,0.142,-0.601,-0.092
2191,0.085,-0.380,-0.464,0.147,0.275,-0.421,0.264,0.294,0.625,0.537,0.659,0.577,0.135,-0.612,-0.095
2192,0.078,-0.393,-0.470,0.157,0.274,-0.431,0.268,0.293,0.615,0.528,0.652,0.569,0.134,-0.627,-0.091
2193,0.077,-0.404,-0.480,0.163,0.279,-0.442,0.267,0.290,0.612,0.524,0.647,0.565,0.132,-0.636,-0.088
2194,0.079,-0.410,-0.488,0.165,0.283,-0.449,0.268,0.288,0.613,0.521,0.644,0.564,0.133,-0.642,-0.088
2195,0.070,-0.417,-0.486,0.172,0.279,-0.452,0.272,0.289,0.612,0.521,0.642,0.563,0.128,-0.647,-0.089
2196,0.069,-0.420,-0.488,0.175,0.279,-0.455,0.270,0.287,0.610,0.518,0.640,0.562,0.129,-0.653,-0.087
2197,0.064,-0.428,-0.492,0.181,0.278,-0.460,0.270,0.286,0.608,0.517,0.639,0.560,0.127,-0.658,-0.086
2198,0.060,-0.438,-0.497,0.188,0.279,-0.467,0.271,0.290,0.609,0.519,0.640,0.561,0.126,-0.665,-0.086
2199,0.064,-0.436,-0.500,0.185,0.282,-0.469,0.268,0.286,0.607,0.516,0.639,0.558,0.127,-0.668,-0.086
2200,0.064,-0.437,-0.500,0.186,0.282,-0.469,0.269,0.285,0.605,0.515,0.635,0.556,0.126,-0.671,-0.086
2201,0.064,-0.434,-0.497,0.184,0.281,-0.466,0.269,0.283,0.603,0.512,0.634,0.553,0.125,-0.669,-0.087
2202,0.064,-0.429,-0.492,0.182,0.278,-0.461,0.264,0.279,0.602,0.511,0.632,0.550,0.124,-0.667,-0.087
2203,0.066,-0.426,-0.491,0.179,0.279,-0.459,0.264,0.278,0.598,0.507,0.629,0.547,0.126,-0.670,-0.086
2204,0.063,-0.429,-0.492,0.182,0.278,-0.461,0.263,0.276,0.595,0.502,0.627,0.545,0.120,-0.674,-0.086
2205,0.060,-0.435,-0.495,0.187,0.278,-0.466,0.264,0.276,0.598,0.502,0.627,0.544,0.120,-0.679,-0.087
2206,0.060,-0.437,-0.497,0.188,0.279,-0.467,0.265,0.274,0.595,0.502,0.623,0.542,0.120,-0.678,-0.085
2207,0.063,-0.430,-0.492,0.182,0.278,-0.461,0.259,0.267,0.589,0.498,0.619,0.539,0.118,-0.674,-0.085
2208,0.067,-0.424,-0.491,0.177,0.279,-0.458,0.259,0.266,0.587,0.495,0.618,0.538,0.119,-0.671,-0.085
2209,0.061,-0.430,-0.491,0.183,0.277,-0.461,0.259,0.265,0.587,0.494,0.618,0.537,0.118,-0.675,-0.084
2210,0.058,-0.434,-0.491,0.188,0.275,-0.463,0.258,0.265,0.588,0.495,0.617,0.535,0.118,-0.680,-0.085
2211,0.057,-0.442,-0.498,0.192,0.278,-0.470,0.259,0.266,0.588,0.492,0.615,0.533,0.117,-0.683,-0.081
2212,0.054,-0.454,-0.507,0.199,0.281,-0.480,0.259,0.266,0.586,0.489,0.613,0.531,0.114,-0.695,-0.079
2213,0.056,-0.461,-0.516,0.202,0.286,-0.488,0.261,0.266,0.586,0.490,0.612,0.531,0.115,-0.698,-0.079
2214,0.059,-0.459,-0.517,0.200,0.287,-0.488,0.260,0.265,0.585,0.488,0.611,0.530,0.115,-0.696,-0.078
2215,0.057,-0.462,-0.517,0.202,0.287,-0.489,0.261,0.265,0.586,0.487,0.613,0.529,0.114,-0.702,-0.077
2216,0.058,-0.465,-0.521,0.203,0.289,-0.493,0.262,0.264,0.587,0.488,0.611,0.530,0.114,-0.703,-0.076
2217,0.059,-0.466,-0.523,0.203,0.291,-0.494,0.262,0.264,0.587,0.489,0.610,0.531,0.113,-0.703,-0.076
2218,0.056,-0.473,-0.528,0.208,0.292,-0.500,0.263,0.266,0.586,0.491,0.611,0.530,0.116,-0.708,-0.076
2219,0.053,-0.473,-0.525,0.209,0.289,-0.499,0.261,0.264,0.584,0.490,0.610,0.529,0.117,-0.707,-0.076
2220,0.052,-0.470,-0.522,0.208,0.287,-0.496,0.261,0.264,0.583,0.487,0.609,0.529,0.113,-0.706,-0.077
2221,0.052,-0.464,-0.515,0.205,0.284,-0.490,0.261,0.264,0.583,0.488,0.608,0.528,0.111,-0.703,-0.077
2222,0.054,-0.455,-0.508,0.199,0.281,-0.481,0.262,0.263,0.583,0.488,0.608,0.528,0.113,-0.696,-0.078
2223,0.055,-0.452,-0.506,0.198,0.281,-0.479,0.260,0.263,0.582,0.486,0.609,0.526,0.115,-0.695,-0.079
2224,0.050,-0.452,-0.501,0.201,0.276,-0.477,0.259,0.263,0.581,0.485,0.608,0.524,0.113,-0.697,-0.078
2225,0.049,-0.456,-0.504,0.203,0.277,-0.480,0.262,0.264,0.583,0.488,0.610,0.528,0.116,-0.699,-0.078
2226,0.047,-0.459,-0.505,0.205,0.277,-0.481,0.263,0.265,0.584,0.490,0.612,0.529,0.114,-0.699,-0.077
2227,0.045,-0.450,-0.495,0.202,0.271,-0.472,0.261,0.262,0.583,0.486,0.609,0.526,0.109,-0.695,-0.080
2228,0.057,-0.445,-0.501,0.193,0.280,-0.473,0.257,0.257,0.577,0.483,0.604,0.522,0.112,-0.691,-0.081
2229,0.061,-0.445,-0.505,0.191,0.283,-0.475,0.256,0.255,0.572,0.480,0.599,0.522,0.113,-0.691,-0.080
2230,0.054,-0.445,-0.499,0.195,0.277,-0.472,0.259,0.260,0.581,0.483,0.606,0.528,0.116,-0.691,-0.081
2231,0.056,-0.451,-0.506,0.197,0.281,-0.478,0.261,0.263,0.586,0.485,0.611,0.526,0.115,-0.696,-0.081
2232,0.056,-0.460,-0.514,0.201,0.285,-0.487,0.262,0.265,0.583,0.487,0.609,0.524,0.111,-0.707,-0.082
2233,0.054,-0.465,-0.518,0.204,0.286,-0.491,0.262,0.265,0.585,0.489,0.610,0.525,0.109,-0.706,-0.081
2234,0.054,-0.465,-0.519,0.204,0.287,-0.492,0.263,0.264,0.584,0.488,0.609,0.523,0.108,-0.705,-0.081
2235,0.051,-0.467,-0.517,0.207,0.284,-0.491,0.264,0.266,0.586,0.491,0.609,0.524,0.109,-0.706,-0.082
